timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3426.392986,50.104278,61.785671,96.452039,157.339532,604.57081,17.642722,0.227956,8.895108,18.204429,3313.246078,healthy,0,0,0,0,0.155503,-0.094499,0.26574,-0.002416,1.482149,0.155128,-0.00061,0.032086,1.0,200.0
1,idle,3403.94027,49.285646,61.997511,96.601833,156.49713,599.313543,17.66096,0.223202,8.968652,18.016917,3279.474636,healthy,0,0,0,0,-3.683158,-0.440365,0.494932,0.127285,-0.065098,-0.051209,-0.008382,0.10827,1.0,199.995
2,idle,3434.40652,50.112945,62.053215,96.970199,157.248735,602.866692,17.864321,0.227678,8.810455,17.903472,3257.82145,healthy,0,0,0,0,2.36957,0.274749,1.020166,0.010088,-1.107002,-0.064688,-0.000794,-0.034563,1.0,199.99
3,idle,3405.508556,49.841609,62.051441,96.257306,156.005321,604.644248,17.697348,0.228043,9.008614,20.027508,3313.016879,healthy,0,0,0,0,-4.236344,0.412626,0.701768,-0.942676,0.243008,-0.094322,0.002614,-0.056151,1.0,199.985
4,idle,3439.031783,47.806195,62.423984,96.406346,157.609344,605.018642,18.091873,0.211909,8.738795,18.058666,3185.789624,healthy,0,0,0,0,0.824398,-0.282869,0.060121,0.172301,-2.350229,0.294489,0.001328,0.045296,1.0,199.98
5,idle,3384.066394,51.279241,61.858041,98.021437,158.650766,600.247772,17.838025,0.230598,8.914254,17.835062,3179.720196,healthy,0,0,0,0,0.690727,-0.200136,0.209591,-0.492611,1.171974,-0.020386,-0.024642,-0.020341,1.0,199.975
6,idle,3435.189602,50.851548,61.427409,97.019134,156.303155,601.236973,17.830608,0.234577,8.855647,17.861134,3236.96649,healthy,0,0,0,0,2.762056,-0.509194,-0.474471,-0.449953,1.678539,0.117648,0.008449,-0.056414,1.0,199.97
7,idle,3413.883797,51.745648,61.581735,96.525408,155.197558,603.913212,17.701156,0.216238,8.795781,18.620945,3265.551444,healthy,0,0,0,0,4.389924,0.06985,0.366877,-0.589565,1.987345,-0.120681,-0.010435,0.045433,1.0,199.965
8,idle,3414.864749,50.273167,62.049784,96.448789,156.078273,604.004322,17.864586,0.219957,8.798221,18.000836,3430.600044,healthy,0,0,0,0,5.587898,0.455545,-0.489476,-0.572142,-3.125891,-0.053663,-0.000434,-0.030928,1.0,199.96
9,idle,3416.367375,50.294964,61.773029,97.155155,157.079228,604.249385,17.821762,0.227273,9.079569,20.271207,3140.695871,healthy,0,0,0,0,1.076156,0.402396,-0.157268,-0.494934,-2.662313,0.026646,-0.003409,-0.071791,1.0,199.955
