timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3280.441176,41.733955,64.974645,90.365678,187.343434,593.253825,21.065273,0.189585,7.665595,3.290852,3151.410473,healthy,0,0,0,0,-3.537222,-0.258919,0.843932,0.97833,-1.654627,-0.038756,-0.000171,0.048961,1.0,200.0
1,idle,3298.175956,41.127853,64.871665,88.908185,187.507273,593.762428,21.188963,0.188544,7.44479,4.47531,3268.911542,healthy,0,0,0,0,2.410634,-0.628627,-0.495841,0.48251,0.780017,-0.06543,0.007742,-0.042351,1.0,199.995
2,idle,3294.737335,39.239114,63.974843,88.998131,186.584867,587.824469,21.146967,0.178751,7.422527,6.085849,3087.683875,healthy,0,0,0,0,-1.172426,-0.786906,-0.250163,0.144039,0.219847,0.055851,-0.004882,-0.062138,1.0,199.99
3,idle,3324.203398,41.238114,64.911572,89.123656,188.591405,592.951489,21.006128,0.185836,7.599105,4.118437,3182.795831,healthy,0,0,0,0,-2.167546,0.578327,-0.25191,1.434728,-0.178706,-0.191766,0.003916,0.108003,1.0,199.985
4,idle,3325.774767,41.573714,65.218567,89.580474,189.355231,587.520438,21.159382,0.18679,7.448728,7.057077,3251.023302,healthy,0,0,0,0,3.01286,-0.28354,0.417281,0.112312,-1.65975,0.123795,-0.002152,-0.019655,1.0,199.98
5,idle,3295.560278,39.793654,65.346623,89.52584,187.291089,594.571402,20.792788,0.180502,7.533921,5.290563,3155.866504,healthy,0,0,0,0,2.515859,-0.32742,1.007787,-0.152755,1.374892,0.054391,-0.000345,-0.089292,1.0,199.975
6,idle,3318.858983,41.320181,64.578558,90.028366,187.542481,588.023663,20.912496,0.185198,7.56371,3.540375,3197.563704,healthy,0,0,0,0,-5.107581,-0.471954,-0.538173,0.847107,1.390793,0.20827,-0.003795,-0.019314,1.0,199.97
7,idle,3319.429809,41.906352,64.817311,90.414595,186.513763,589.946572,20.831773,0.181885,7.664517,7.0973,3203.055829,healthy,0,0,0,0,0.302823,-0.419524,0.556018,1.575052,-2.740985,-0.011528,-0.005109,-0.039617,1.0,199.965
8,idle,3329.499203,38.117235,65.064272,91.215144,187.951712,590.463203,20.864736,0.184843,7.511577,5.437988,3196.158497,healthy,0,0,0,0,-2.73365,-0.11773,0.717286,0.483014,0.153734,0.12878,0.004647,0.095912,1.0,199.96
9,idle,3314.178673,40.611905,64.391385,90.309438,187.235763,594.422947,21.088805,0.189033,7.664335,7.449183,3165.387331,healthy,0,0,0,0,-2.113234,-0.280559,0.956954,0.845607,-0.739185,-0.051561,-0.001189,0.029425,1.0,199.955
10,idle,3253.326114,40.746821,65.33436,90.168673,185.324958,593.950938,21.069994,0.183376,7.372547,6.997018,3237.651825,healthy,0,0,0,0,-2.823827,-0.347384,0.69614,-0.069327,-2.649772,-0.001847,0.003967,-0.065509,1.0,199.95
11,idle,3293.188598,39.364379,65.060979,89.533314,189.086797,593.733977,21.19847,0.191534,7.276883,7.594624,3178.110538,healthy,0,0,0,0,1.328455,-0.535169,-0.594078,0.120108,0.186355,-0.149877,-0.003628,0.007722,1.0,199.945
12,idle,3290.335105,39.877391,65.166176,90.092761,186.537986,591.490868,20.587369,0.186092,7.314221,5.865719,3256.143827,healthy,0,0,0,0,1.849183,0.399567,-0.071035,-1.024432,1.65132,0.007955,-0.004187,0.009537,1.0,199.94
13,idle,3305.175007,40.997232,65.03425,90.212487,188.325521,594.837788,20.765439,0.186445,7.480116,5.43705,3274.39982,healthy,0,0,0,0,2.007621,0.363001,0.229319,-1.180902,-1.748223,0.055878,-0.003697,0.122203,1.0,199.935
14,idle,3318.355677,40.991936,65.081292,89.282994,185.564157,586.284748,20.664223,0.190299,7.479456,5.560629,3160.126101,healthy,0,0,0,0,-4.71992,-0.270005,0.176021,-0.082986,1.089191,0.063467,0.001576,0.067828,1.0,199.93
15,idle,3278.722137,40.960667,64.7261,89.871101,186.953596,588.341614,20.861839,0.197023,7.437858,5.482513,3310.480289,healthy,0,0,0,0,1.621232,0.197223,0.227291,-0.501828,0.13755,-0.115912,-0.003254,0.040459,1.0,199.925
16,idle,3314.412309,41.630864,65.726179,90.772151,187.143365,588.730987,21.300746,0.185445,7.333946,8.69539,3161.337144,healthy,0,0,0,0,3.666999,0.426383,0.022878,0.300494,3.81743,-0.044056,0.001905,0.02771,1.0,199.92
17,idle,3317.779544,40.177388,64.741054,88.699876,188.499061,591.927181,20.766239,0.18466,7.661677,5.45379,3148.624664,healthy,0,0,0,0,-5.094846,0.133873,-1.055726,0.268194,-1.700812,-0.088933,0.004143,-0.043248,1.0,199.915
18,idle,3356.531256,39.890385,64.833585,90.073851,185.781417,592.744333,20.979443,0.186053,7.26414,4.857551,3126.716496,healthy,0,0,0,0,-1.870291,0.315741,-0.457396,0.624558,0.81561,0.364919,-0.002486,-0.055883,1.0,199.91
19,idle,3308.749514,39.557265,64.700634,89.558531,188.244419,590.059031,20.925121,0.186306,7.555022,6.793705,3092.984078,healthy,0,0,0,0,4.77134,-0.35078,-0.72821,0.700489,-2.371281,-0.219299,-0.002636,-0.088726,1.0,199.905
20,idle,3314.556796,40.078831,65.455095,89.835631,189.043192,590.071467,20.710778,0.1799,7.467833,5.46476,3208.732092,healthy,0,0,0,0,-6.430806,0.344355,-0.189239,-0.165718,0.706992,-0.027835,0.004649,0.003876,1.0,199.9
