timestamp,mission_phase,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,fault_type,fault_active,fault_severity,fault_start_time,fault_end_time,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
0,idle,3326.989257,52.613693,55.54237,96.113576,177.001173,566.355858,18.801695,0.299864,6.8,11.535566,3012.683552,healthy,0,0,0,0,-0.205182,-0.221598,1.175389,-1.546451,0.793757,0.198726,0.006072,-0.079828,1.0,200.0
1,idle,3335.503064,53.309685,54.69102,96.759594,175.310766,567.030201,18.445676,0.308932,6.8,12.456672,3020.837101,healthy,0,0,0,0,1.755679,0.37814,0.458025,-0.881929,1.32422,-0.187859,-0.004205,0.001411,1.0,199.995
2,idle,3295.381698,50.869587,55.928895,97.421085,176.274918,568.540039,18.525779,0.311159,6.8,11.152776,2936.924716,healthy,0,0,0,0,-0.524357,-0.086706,-0.295663,0.595257,-0.603252,0.054079,0.008373,0.18643,1.0,199.99
3,idle,3304.359849,51.447036,55.256175,96.234883,174.645673,570.326606,19.049246,0.304778,6.8,13.77183,2862.163135,healthy,0,0,0,0,2.000949,0.540014,-0.703019,-0.126484,0.76923,-0.213003,0.006973,0.032172,1.0,199.985
4,idle,3301.552343,52.994491,55.04114,96.947659,176.182066,564.841281,19.018662,0.307267,6.8,11.024537,3021.680859,healthy,0,0,0,0,3.424244,0.104562,0.34305,-1.630463,-3.43368,-0.459963,-0.001723,-0.063139,1.0,199.98
5,idle,3304.951007,50.265987,55.553799,97.349361,177.491831,567.443575,18.930954,0.295665,6.8,12.425474,3078.856658,healthy,0,0,0,0,-1.012031,-0.2103,-0.627195,1.933101,1.532113,-0.12968,-0.00329,0.086243,1.0,199.975
6,idle,3289.146182,53.465853,54.602851,96.935668,175.933496,565.021278,19.187528,0.305821,6.8,13.427236,3079.647574,healthy,0,0,0,0,2.624046,0.02294,-0.226035,-0.020319,1.596674,-0.05041,-0.007916,0.052296,1.0,199.97
7,idle,3306.05056,52.5012,55.315505,96.525745,177.653394,568.744346,18.721848,0.311742,6.8,12.760544,2841.415077,healthy,0,0,0,0,-0.449718,-0.52736,-0.063235,-1.042621,0.767649,0.11492,0.005125,-0.049295,1.0,199.965
8,idle,3298.267803,54.84929,54.597383,96.422228,176.928172,569.103297,18.872811,0.309787,6.8,12.213461,3167.89915,healthy,0,0,0,0,-0.630355,0.252969,-0.141781,-0.654771,-0.48936,-0.10326,0.00496,0.155195,1.0,199.96
9,idle,3297.537692,53.781196,54.998188,95.866089,177.74096,565.582042,18.799141,0.31387,6.8,11.77606,3014.388912,healthy,0,0,0,0,-2.663309,0.345609,0.472363,0.22876,1.320455,0.020445,-0.006206,-0.067092,1.0,199.955
10,idle,3296.049351,52.334803,55.490556,96.569034,176.544294,573.923799,18.949938,0.30501,6.8,11.547317,3089.532667,healthy,0,0,0,0,0.216108,-0.056456,-0.721208,0.5277,-0.076306,0.365409,0.003243,0.004204,1.0,199.95
11,idle,3309.617863,51.899475,55.147446,97.007838,175.682832,569.42849,18.528337,0.315737,6.8,11.763412,3023.549548,healthy,0,0,0,0,2.443573,-0.141108,0.123923,-0.449301,1.883506,-0.13418,-0.000972,0.000209,1.0,199.945
12,idle,3323.631417,52.518514,55.110426,97.386197,176.052221,569.182289,19.011924,0.310855,6.8,13.064751,2916.670388,healthy,0,0,0,0,2.477445,0.543441,-0.679407,-0.139843,0.199653,-0.004361,-0.001628,0.080566,1.0,199.94
13,idle,3283.640291,54.398675,55.158322,96.795572,177.16612,566.019059,18.917578,0.306145,6.8,12.029616,2924.351481,healthy,0,0,0,0,-0.301841,-0.270332,0.008942,-0.333267,0.636073,0.096619,0.003421,0.051048,1.0,199.935
14,idle,3311.534385,52.242991,55.493603,96.92974,176.151101,570.129703,18.722386,0.308973,6.8,13.030611,3147.062205,healthy,0,0,0,0,6.043792,0.008785,0.319651,-1.518809,3.105275,-0.17394,-0.001864,-0.038861,1.0,199.93
15,idle,3301.666461,51.626162,54.618545,96.742477,176.436162,566.421865,18.475341,0.304265,6.8,12.146454,3130.039371,healthy,0,0,0,0,2.209403,-0.073608,-0.408506,0.127582,0.845824,0.112274,0.00439,-0.02137,1.0,199.925
16,idle,3302.003085,50.651115,55.860455,96.519441,177.264094,564.880976,18.754886,0.303093,6.8,10.383015,3068.708986,healthy,0,0,0,0,2.213045,-0.452357,-0.326654,-0.901051,-1.374824,0.082524,-0.002467,-0.084529,1.0,199.92
17,idle,3302.15809,51.795248,54.690646,97.136794,175.880895,566.614045,19.007044,0.30434,6.8,12.326062,2967.020949,healthy,0,0,0,0,-2.412776,0.750313,0.376559,-0.661086,-0.695503,0.347733,-0.009272,0.012329,1.0,199.915
18,idle,3328.027557,51.18052,55.03399,97.100034,177.163777,568.366406,18.919018,0.309553,6.8,12.262738,3007.96771,healthy,0,0,0,0,-2.185816,0.020637,-0.398377,0.37,0.173001,-0.02305,-0.000314,0.157711,1.0,199.91
19,idle,3314.012624,53.362126,54.563824,96.132002,177.282793,568.540834,18.978545,0.307096,6.8,12.783807,2918.295527,healthy,0,0,0,0,0.324117,-0.069384,0.155126,0.322188,-0.849718,-0.246948,-0.000777,0.083514,1.0,199.905
20,idle,3305.792055,53.32142,55.694339,97.177498,174.01349,570.926265,18.394934,0.308804,6.8,13.527167,3079.051633,healthy,0,0,0,0,1.231407,0.338121,0.166256,-0.343147,3.397921,0.214434,0.000827,-0.03615,1.0,199.9
21,idle,3306.847986,52.201435,54.42041,97.214968,176.360791,568.584369,18.953174,0.305387,6.8,10.880785,3005.823771,healthy,0,0,0,0,3.633429,0.52697,0.433155,0.331903,-0.064361,0.211194,0.008462,0.056255,1.0,199.895
22,idle,3290.572689,53.417834,55.093424,97.43715,176.504528,565.733852,18.704598,0.305219,6.8,11.763899,2911.01058,healthy,0,0,0,0,-4.562435,-0.337487,-0.541015,1.071885,-0.442666,0.381289,0.000338,-0.085217,1.0,199.89
23,idle,3310.909887,53.392689,55.155445,96.298382,177.923761,570.468397,18.83043,0.308325,6.8,10.79906,3039.460682,healthy,0,0,0,0,3.613191,-0.22568,0.38362,-0.790656,-1.051189,-0.12476,-0.006136,-0.014027,1.0,199.885
24,idle,3276.861739,52.444881,54.632042,96.279166,177.648074,571.375024,18.659308,0.306336,6.8,11.950052,2947.227859,healthy,0,0,0,0,0.599329,-0.155381,-0.269906,-0.916179,0.700677,-0.0199,-0.000341,0.045371,1.0,199.88
25,idle,3309.157333,51.543605,54.979802,96.822469,178.632658,563.630984,18.76634,0.29805,6.8,11.829287,3027.352953,healthy,0,0,0,0,2.462472,0.177822,0.383291,0.820608,-1.890561,0.047452,0.000289,-0.137509,1.0,199.875
26,idle,3306.52187,54.859011,55.142088,96.964921,175.096082,569.115875,18.796226,0.313164,6.8,13.031295,3024.220568,healthy,0,0,0,0,2.563054,-0.28825,-0.1282,-0.176391,1.509909,-0.210112,0.004697,0.066434,1.0,199.87
27,idle,3305.411052,52.859903,55.102764,96.64511,176.055673,565.717888,18.687106,0.300847,6.8,11.114301,3036.974913,healthy,0,0,0,0,-2.43144,-0.133186,0.441841,0.110366,-0.390895,-0.00373,-0.000605,-0.022371,1.0,199.865
28,idle,3327.432387,52.549098,54.657488,95.904052,177.336636,568.758735,18.450088,0.308449,6.8,14.256975,2933.658973,healthy,0,0,0,0,1.98493,-0.754323,-0.431714,-0.492522,-2.495491,0.07745,0.004882,-0.025289,1.0,199.86
29,idle,3285.724059,52.913958,55.219355,96.625932,176.544066,566.884208,18.709393,0.301978,6.8,11.815431,2998.108422,healthy,0,0,0,0,-2.680112,-0.621107,0.706989,-0.487088,0.648147,-0.247656,0.00027,0.039004,1.0,199.855
