timestamp,rpm,throttle,oil_pressure,oil_temp,cht,egt,manifold_pressure,vibration,fuel_flow,ambient_temp,altitude,mission_phase,residual_rpm,residual_oil_pressure,residual_oil_temp,residual_cht,residual_egt,residual_manifold_pressure,residual_vibration,residual_fuel_flow,health_index,baseline_rul
1,3594.9,75,54.9,89.76,180.2,648.2,25.05,0.165,11.96,25,1000,cruise,-212.6,-0.09,-0.06,0.5,0.7,-0.05,0.341,-0.03,0.999,200
2,3513.2,75,55.12,89.83,179.8,649.0,25.12,0.171,12.08,25,1000,cruise,-249.6,-0.15,0.17,0.3,1.0,-0.03,0.623,-0.02,0.998,200
3,3405.5,75,55.38,90.29,180.4,649.0,24.9,0.165,12.09,25,1000,cruise,95.2,-0.14,0.04,0.2,0.8,-0.01,0.301,-0.03,0.997,200
4,3561.1,75,55.31,89.56,179.6,649.1,25.2,0.169,11.91,25,1000,cruise,-182.2,0.1,0.14,-0.2,0.5,-0.04,-0.091,-0.03,0.996,200
5,3558.1,75,55.33,90.24,180.7,649.5,25.15,0.214,12.03,25,1000,cruise,-234.7,0.03,-0.11,0.2,0.2,-0.05,-0.236,0.04,0.995,200
6,3749.5,75,54.61,89.87,180.3,649.9,25.14,0.174,12.05,25,1000,cruise,-142.3,-0.15,-0.13,-0.4,-0.8,0.01,0.17,-0.02,0.994,200
7,3517.4,75,55.48,90.32,180.6,649.0,24.86,0.17,12.0,25,1000,cruise,39.1,0.19,-0.08,0.3,0.0,0.04,-0.768,-0.04,0.993,200
8,3463.6,75,55.23,90.42,180.2,649.8,25.18,0.252,12.01,25,1000,cruise,244.4,-0.17,0.04,-0.5,-0.4,0.08,0.315,-0.04,0.992,200
9,3780.5,75,55.14,90.33,179.1,649.2,25.03,0.245,11.95,25,1000,cruise,39.1,0.06,0.0,-0.4,1.0,-0.04,-0.445,0.02,0.991,200
10,3727.2,75,54.7,89.78,180.7,650.0,25.02,0.247,12.06,25,1000,cruise,-23.2,-0.09,0.0,0.2,0.5,0.0,0.101,-0.0,0.99,200
11,3630.4,75,55.05,90.09,180.6,649.3,25.11,0.23,11.97,25,1000,cruise,-199.3,0.18,0.02,0.4,-0.5,0.04,0.497,-0.01,0.989,200
12,3736.5,75,54.83,90.46,180.3,651.7,24.9,0.225,12.07,25,1000,cruise,-195.1,0.0,-0.13,-0.1,0.5,0.07,0.315,0.02,0.988,200
13,3628.5,75,54.57,90.15,181.0,649.6,25.0,0.236,12.07,25,1000,cruise,132.5,0.02,0.05,-0.1,-0.2,0.04,-0.009,-0.0,0.987,200
14,3422.3,75,55.25,90.28,179.5,651.5,25.12,0.206,12.04,25,1000,cruise,193.0,-0.16,0.13,0.4,0.6,0.04,-0.427,0.05,0.986,200
15,3699.8,75,55.24,89.99,180.9,650.7,25.16,0.196,11.97,25,1000,cruise,44.0,0.16,-0.18,-0.2,0.7,-0.04,0.033,-0.01,0.985,200
